Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2015 Marin Mount Vision C XM8,2015,Marin,NoModelFound,1600,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,180 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3799129/
2020 Stumpjumper Comp Carbon 29 Large,2020,NoManufacturer,NoModelFound,2500,USD,"Good - Used, Mechanically Sound",L,29,110 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3800555/
2023 Trek Slash 8 Xt Gen6 Size M Brand New Grey Color,2023,Trek,Slash,4200,USD,New - Unridden/With Tags,M,29,,,Aluminium,front travel,https://www.pinkbike.com/buysell/3799391/
2021 Intense 951 Trail XL,2021,Intense,NoModelFound,3000,USD,Excellent - Lightly Ridden,XL,29,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3799289/
2014 Stumpjumper large frame on Kauai,2014,NoManufacturer,NoModelFound,1000,USD,"Good - Used, Mechanically Sound",L,29,,,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3771460/
2020 Specialized Sirrus 3.0 small bike,2020,Specialized,NoModelFound,368,CAD,Excellent - Lightly Ridden,S,,,,Aluminium,model,https://www.pinkbike.com/buysell/3798872/
2020 Stumpjumper FSR Men Comp Alloy Evo 27.5,2020,NoManufacturer,NoModelFound,2300,USD,Excellent - Lightly Ridden,,27.5 / 650B,150 mm,,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3755860/
2006 Fetish Cycles Fixation 17inch,2006,NoManufacturer,NoModelFound,221,CAD,"Good - Used, Mechanically Sound",16,26,0 mm (Rigid),0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3131278/
2020 Niners Jet RDO XS,2020,Niner,NoModelFound,2200,USD,Excellent - Lightly Ridden,XS,27.5 / 650B,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3793331/
2021 Giant Stance (Trekking Green),2021,Trek,NoModelFound,1150,USD,Excellent - Lightly Ridden,M,27.5 / 650B,130 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3420602/
Marin Pine Mountain One small frame,,Marin,NoModelFound,750,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,,0 mm (Hardtail),Steel,year,https://www.pinkbike.com/buysell/3797881/
2017 Jamis Firefly 26+,2017,Jamis,NoModelFound,650,USD,Excellent - Lightly Ridden,S,26,120 mm,0 mm (Hardtail),Steel,model,https://www.pinkbike.com/buysell/3797438/
2017 Custom-Built Maxx Jinxx - S,2017,NoManufacturer,NoModelFound,950,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,140 mm,140 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3726667/
2021 Giant trance pro 3 carbon,2021,Giant,NoModelFound,2300,USD,"Good - Used, Mechanically Sound",M,29,120 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3641301/
2021 Forbiden Druid XL Ohlins Shock Upgraded 160mm Lyrik,2021,NoManufacturer,NoModelFound,2750,USD,Excellent - Lightly Ridden,XL,29,160 mm,135 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3764849/
2019 Chameleon 29er XL Burnt Orange,2019,Orange,NoModelFound,850,USD,"Good - Used, Mechanically Sound",XL,29,140 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3796075/
"2023 Specialized Stupjumper EVO Pro, size s4",2023,Specialized,NoModelFound,5000,USD,Excellent - Lightly Ridden,L,29,160 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3796034/
2022 Specialized SJ Evo Comp S5,2022,Specialized,NoModelFound,3999,USD,Excellent - Lightly Ridden,XL,29,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3779630/
2019 Rsd middle child titanium,2019,RSD,NoModelFound,2300,USD,Poor - Needs Servicing,L,29,160 mm,0 mm (Hardtail),Titanium,model,https://www.pinkbike.com/buysell/3795685/
