Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review
2020 Specialized Status 160.,2020,Specialized,Status,2020,,2500,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
"2016 Specialized Rhyme, M",2016,Specialized,NoModelFound,2016,,2300,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,model
2016 Giant Reign (medium),2016,Giant,Reign,2016,,2800,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2020 Rocky Mountain Slayer C90 medium,2020,Rocky Mountain,Slayer,2020,,3500,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",180 mm,currency
2020 XXL SantaCruz MegaTower C,2020,NoManufacturer,Mega,2020,,5400,CAD,Excellent - Lightly Ridden,XXL,"29""",170 mm,manufacturer
2022 YT Jeffsy Pro With UPGRADES,2022,YT,Jeffsy,2022,,2800,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,currency
2021 Marin Alpine Trail 7,2021,Ari,Alpine Trail,2021,,3200,CAD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2022 Canyon Spectral 125 AL 6 small bike for sale.,2022,Canyon,Spectral,2022,,4500,CAD,Excellent - Lightly Ridden,S,"29""",140 mm,currency
"2023 Norco Sight A1, 29”- XL",2023,Norco,Sight,2023,,5000,CAD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2022 Trek Slash 9.9 XX1 AXS Flight attendant,2022,Trek,Slash,2022,,8500,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2017 Trek Slash 9.8 XL Custom Build,2017,Trek,Slash,2017,,2500,USD,"Good - Used, Mechanically Sound",XL,"29""",160 mm,currency
2017 Trek Remedy 9.8,2017,Trek,Remedy,2017,,1980,USD,Excellent - Lightly Ridden,"18.5""","27.5"" / 650B",,currency
"2019 Devinci Spartan 29"" XL",2019,Devinci,Spartan,2019,,2800,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2017 XL Evil Wreckoning,2017,Evil,Wreckoning,2017,,2400,USD,"Good - Used, Mechanically Sound",XL,"29""",160 mm,currency
2023 Rocky Mountain Altitude MEDIUM AND XL C70 Custom Paint,2023,Rocky Mountain,Altitude,2023,,6500,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2015 Canfield brothers riot,2015,Canfield,Riot,2015,,1500,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2016 TREK Slash 27.5 Medium,2016,Trek,Slash,2016,,2250,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2022 Norco Range - Size M; Custom Build; New,2022,Norco,Range,2022,,7800,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2020 Evolve Alpha 29 Medium,2020,NoManufacturer,NoModelFound,2020,,3200,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,manufacturer
"2017 Specialized Enduro Elite 27.5"" M",2017,Specialized,Elite,2017,,2399,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
2017 Specialized Enduro,2017,Specialized,Enduro,2017,,1500,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
2011 Trek remedy 9.7 medium,2011,Trek,Remedy,2011,,850,USD,"Good - Used, Mechanically Sound",M,"26""",,currency
2021 YT Capra,2021,YT,Capra,2021,,1900,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",170 mm,currency
2009 Foes Fly size L,2009,NoManufacturer,NoModelFound,2009,,1000,CAD,"Good - Used, Mechanically Sound",L,"26""",180 mm,manufacturer
"2016 (refurbished 2021) Intense Tracer Carbon, 275, Large",2016,Intense,Tracer,2016,,2150,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2022 YT Jeffsy Core 2,2022,YT,Jeffsy,2022,,2000,USD,Excellent - Lightly Ridden,XL,"29""",150 mm,currency
2018 Specialized S-Works Enduro size M,2018,Specialized,Enduro,2018,,2995,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2015 Devinci Spartan,2015,Devinci,Spartan,2015,,1800,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
