Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2021 Pipedream Moxie MX3 size longer,2021,NoManufacturer,NoModelFound,1349,CAD,Excellent - Lightly Ridden,XL,29,160 mm,0 mm (Hardtail),Chromoly,manufacturer,https://www.pinkbike.com/buysell/3854561/
2023 Giant Trance Advanced Pro 29 1 - Small,2023,Giant,NoModelFound,4009,CAD,Excellent - Lightly Ridden,S,29,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3722411/
2022 Specialized Stumpjumper Comp - S3,2022,Specialized,NoModelFound,3280,CAD,New - Unridden/With Tags,M,29,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3825094/
2018 Giant Trance Advanced 2 Medium,2018,Giant,NoModelFound,1999,USD,Excellent - Lightly Ridden,M,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3896971/
"2023 Transition Spur GX, small, raw carbon: PRICE DROP",2023,Transition,NoModelFound,3499,CAD,Excellent - Lightly Ridden,S,29,120 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3853700/
2024 Yeti SB135,2024,Yeti,NoModelFound,5905,CAD,New - Unridden/With Tags,S,27.5 / 650B,150 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3853887/
2023 KHS 5500 L  12sp With Dropper,2023,KHS,NoModelFound,2806,CAD,New - Unridden/With Tags,L,29,140 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3394553/
2023 Dartmoor Primal Pro 29 Matt Sandstorm L 30% OFF Sale,2023,NoManufacturer,NoModelFound,1836,CAD,New - Unridden/With Tags,L,29,140 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3485872/
"2023 KHS Winslow 29"" Hardtail S",2023,KHS,NoModelFound,655,CAD,New - Unridden/With Tags,S,29,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3537809/
2020 Specialized StumpJumper ST,2020,Specialized,NoModelFound,1823,CAD,"Good - Used, Mechanically Sound",S,27.5 / 650B,130 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3893012/
Ibis Ripley AF Plum Smash M | NGX (Cash Credit!),,Ibis,NoModelFound,3061,CAD,New - Unridden/With Tags,M,29,130 mm,120 mm,Aluminium,year,https://www.pinkbike.com/buysell/3894395/
Ibis Ripmo AF Cinnabon Bronze L | NGX (CASH CREDIT!),,Ibis,Ripmo,3061,CAD,New - Unridden/With Tags,L,29,160 mm,145 mm,Aluminium,year,https://www.pinkbike.com/buysell/3894411/
2025 Epic 8 Comp Evo Blue Onyx/Dune White L (CASH CREDIT!),2025,NoManufacturer,NoModelFound,4739,CAD,New - Unridden/With Tags,L,29,130 mm,120 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3894514/
2025 SJ 15 Pro Grn Tnt/Gun/MetSlphr S4 (CASH CREDIT!),2025,NoManufacturer,NoModelFound,8748,CAD,New - Unridden/With Tags,L,29,150 mm,145 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3894537/
